Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Tesoma,2h+kt+lasitettu...,kt,"37,00",139000,3757,2018,3/6,on,hyvä,"C,2018"
Tesoma,1,kt,"13,00",9500,731,2018,1/8,on,hyvä,"C,2018"
Lentävänniemi,"1h, kt, kph, p",kt,"29,00",126820,4373,2019,2/6,on,hyvä,
Lentävänniemi,"1h, kt, kph, pa...",kt,"29,00",129880,4479,2019,5/6,on,hyvä,
Lentävänniemi,"1h, kt, kph, pa...",kt,"29,00",129880,4479,2019,5/6,on,hyvä,
Hervanta,1h+kk+alkovi+pa...,kt,"34,00",92000,2706,1984,6/6,on,hyvä,"D,2007"
Hatanpää,1H+ALK+KT,kt,"31,00",164700,5313,2019,6/7,on,hyvä,"C,2018"
Hatanpää,1H+ALK+KT,kt,"31,00",167700,5410,2019,7/7,on,hyvä,"C,2018"
Kaleva,1h+k,kt,"36,00",128000,3556,1958,4/6,on,hyvä,"D,2018"
Kaleva,Autohallipaikka,kt,"12,50",16900,1352,2018,1/6,on,hyvä,
Peltolammi,autopaikka,kt,"12,50",3300,264,2019,1/1,on,hyvä,
Santalahti,"1h, kt, kph/wc,...",kt,"25,00",168900,6756,2019,6/7,on,hyvä,C
Ristinarkku,"1h,k",kt,"28,00",128601,4593,2019,2/7,on,hyvä,"C,2013"
Hatanpää,1H+KT,kt,"26,50",158600,5985,2019,4/7,ei,hyvä,"C,2018"
Kaleva,"1h, kk, kph, pa...",kt,"31,50",130000,4127,1961,2/6,on,hyvä,"D,2013"
Hallila,"1h, kk, kph/s, ...",kt,"36,00",114000,3167,1991,4/6,on,hyvä,
Lamminpää,"1h,k,vh,kph,alkovi",kt,"43,00",88000,2047,1959,2/2,ei,hyvä,"G,2007"
Hervanta,"1h,kk,s,lasitet...",kt,"35,00",97000,2771,1988,2/8,on,hyvä,"D,2007"
Hatanpää,1H+ALK+KT,kt,"31,00",161100,5197,2019,5/7,ei,hyvä,"C,2018"
Kaleva,"1h, kk, kh",kt,"30,00",128000,4267,1959,2/7,on,tyyd.,"F,2013"
Saukonmäki,"1h, kk, kh",kt,"24,00",115000,4792,1948,1/4,ei,tyyd.,"F,2013"
Hervanta,"1h, kt, kph, la...",kt,"25,50",113500,4451,2019,2/8,on,hyvä,
Peltolammi,"Oh, alkovi, kt,...",kt,"29,00",120700,4162,2019,3/6,on,hyvä,
Vuores,"1h, k, kh, rans...",kt,"31,50",107000,3397,2015,7/7,on,hyvä,C
Vuores,"1h, k, alkovi, ...",kt,"33,50",114000,3403,2015,5/7,on,hyvä,"C,2013"
Vehmainen,"1h,kt",kt,"24,00",95000,3958,2019,4/4,on,hyvä,"C,2013"
Janka,"1h, kt",kt,"29,50",137598,4664,2020,3/5,ei,hyvä,"C,2013"
Janka,"1h, kt",kt,"29,50",137598,4664,2020,3/5,ei,hyvä,"C,2013"
Janka,"1h, kt",kt,"29,50",137598,4664,2020,3/5,ei,hyvä,"C,2013"
Tahmela,"1h,kk,s",kt,"32,00",97000,3031,1989,1/2,ei, ,"F,2007"
Härmälänranta,"1h, kt",kt,"24,00",116900,4871,2019,1/3,ei, ,"C,2013"
Haapalinnankylä,"1h, k, s, p (las)",kt,"38,00",130000,3421,2003,4/6,on,hyvä,"F,2013"
Tammela,"1h,kk, pesuh/wc",kt,"32,00",137000,4281,1941,6/6,on,hyvä,"F,2013"
Lielahti,"1h, kt, las. te...",kt,"26,00",124200,4777,2018,1/8,on,hyvä,"C,2013"
Lentävänniemi,"1h, kt",kt,"29,00",126820,4373,2019,2/6,on, ,"C,2013"
Lentävänniemi,"1h, kt",kt,"29,00",127840,4408,2019,3/6,on, ,"C,2013"
