Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Kaleva,"2h, kk",kt,"43,00",129747,3017,1953,2/3,ei,tyyd.,"C,2007"
Ranta-tampella,"2-3h, kt, s, vh",kt,"70,00",302857,4327,2019,1/8,ei, ,"C,2018"
Vehmainen,"2h,kt,s",kt,"45,00",150750,3350,2019,2/4,on,hyvä,"C,2013"
Atala,"2h, kk, s, lasi...",kt,"59,50",144000,2420,2005,4/4,on,hyvä,"B,2007"
Lentävänniemi,"2h, k, kph, las...",kt,"62,50",110000,1760,1978,3/6,on,hyvä,"D,2007"
Pyynikki,"2h,k,kph,s,wc,l...",kt,"63,00",205000,3254,1991,4/5,on,hyvä,"F,2013"
Hallila,"3h,k,s",kt,"79,00",140000,1772,1991,3/6,on, ,"B,2007"
Hervanta,"2 h, kt, vh, kp...",kt,"42,00",139900,3331,2019,2/8,on,hyvä,
Tesoma,"2h,kk",kt,"41,00",139300,3398,2018,6/8,on,hyvä,C
Kaleva,2h+k+s,kt,"67,00",209000,3119,1993,3/7,on,hyvä,E
Amuri,"2h,k,kph,vh,p",kt,"58,00",150000,2586,1958,2/7,on,tyyd.,"D,2007"
Hervanta,"2h, kt, kph, pa...",kt,"38,50",132900,3452,2019,3/8,on,hyvä,
Hervanta,"2h, kt, kph, pa...",kt,"38,50",136900,3556,2019,5/8,on,hyvä,
Hervanta,"2 h, kt, kph, p...",kt,"39,50",134900,3415,2019,3/8,on,hyvä,
Janka,2h+kk+s+vh+parveke,kt,"47,00",115000,2447,1991,1/4,on,tyyd.,"D,2007"
Lentävänniemi,"3h, k, kph/s, w...",kt,"72,00",135000,1875,1975,6/6,on,hyvä,"C,2007"
Hervanta,3h+k+kph+s+vh+l...,kt,"74,00",95000,1284,1977,4/8,on,hyvä,"E,2013"
Kaleva,"3h, avok, kph",kt,"53,50",192000,3589,1954,2/7,on,hyvä,
Villilä,"3h, k, wc, kh, ...",kt,"79,50",225000,2830,2004,1/2,ei,hyvä,"D,2007"
Hämeenpuisto,2-3h+k+s+lasite...,kt,"71,00",316000,4451,1981,8/8,on,hyvä,"D,2013"
Härmälänranta,"3-4 h, kt, kph/...",kt,"70,50",280000,3972,2017,4/6,on,hyvä,"C,2013"
Ranta-tampella,"3h, kt, s, wc",kt,"77,00",400022,5195,2019,3/8,ei, ,"C,2018"
Kaleva,"3h, k, p",kt,"72,00",224000,3111,1958,6/7,on,hyvä,"G,2013"
Hervanta,"3h, k, s, p(las.)",kt,"78,50",109000,1389,1984,1/5,on,hyvä,"F,2013"
Tasanne,"2h, kt, kph, s",kt,"50,00",159890,3198,2018,1/2,ei,hyvä,A
Ratina,"2h,kk,kph,s,las...",kt,"51,00",235000,4608,2012,2/9,on,hyvä,"B,2007"
Hervanta,"2h,k,kph,s,vh,l...",kt,"65,00",126000,1938,1984,5/5,on,hyvä,"F,2013"
Hatanpää,"2h, kt",kt,"38,50",173700,4512,2019,2/7,on,hyvä,"C,2018"
Viiala,"1h,tk,s",kt,"40,00",119000,2975,2000,1/2,ei,hyvä,"F,2013"
Linnainmaa,2h+kt+s+kph+las...,kt,"43,00",158000,3674,2018,4/7,on,hyvä,
Pyynikki,"2h, k, kph, vh",kt,"45,00",165000,3667,1962,6/6,on,hyvä,F
Hyhky,"2h,k,kph,las.p",kt,"50,00",122370,2447,1964,6/6,on,hyvä,"C,2007"
Hatanpää,"2h,kt,kph,s,las...",kt,"65,00",194000,2985,2008,2/7,on,hyvä,"D,2013"
Hervanta,"2 h, kt, kph, p...",kt,"39,50",140900,3567,2019,6/8,on,hyvä,
Amuri,"2h,k,kph,p",kt,"49,50",164000,3313,1950,4/6,on,tyyd.,"F,2013"
Linnainmaa,"Tupak, mh, kph/...",kt,"44,50",134000,3011,2006,1/5,on,hyvä,"E,2013"
Vuores,"2h, kt, kph/wc,...",kt,"44,50",140000,3146,2013,3/5,on,hyvä,
Kissanmaa,"2h, k, kph, vh, p",kt,"51,50",100000,1942,1958,1/2,ei,hyvä,
Vehmainen,"2h,kt,s",kt,"45,00",153001,3400,2019,3/4,on,hyvä,"C,2013"
Hervanta,"2h, kt, kph, pa...",kt,"38,50",134900,3504,2019,4/8,on,hyvä,
Atala,"2h, k, kph, s, ...",kt,"63,00",125000,1984,1990,2/2,ei,hyvä,
Ratina,2h+kk+s,kt,"44,00",211000,4795,2011,2/5,on,hyvä,
Tammela,"2h, kk, kph, vh, p",kt,"55,00",167000,3036,1967,2/7,ei,hyvä,"E,2013"
Hervanta,"1h, kt, kph, pa...",kt,"25,50",107900,4231,2019,7/8,on,hyvä,
Tammela,"1h, kk, alkovi,...",kt,"30,50",135000,4426,1974,5/7,on,hyvä,"D,2013"
Hervanta,"1h, kt, kph, la...",kt,"25,50",114500,4490,2019,2/8,on,hyvä,
Lamminpää,"1h, k, alkovi, kph",kt,"36,00",67000,1861,1948,2/2,ei,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",104900,4114,2019,4/8,on,hyvä,
Linnainmaa,"2h,k,kph,s,las.p",kt,"59,00",125000,2119,2001,1/5,on,hyvä,"D,2013"
Hervanta,"2 h, k, s, p",kt,"59,00",161000,2729,2007,4/8,on,hyvä,"E,2007"
Pyynikki,"2h, k, s, p",kt,"60,00",368400,6140,2018,10/10,on,hyvä,C
Kissanmaa,2h+kk,kt,"44,00",105000,2386,1959,3/3,ei,tyyd.,"D,2007"
Kaleva,2h+kk,kt,"48,00",166000,3458,1954,2/4,ei,hyvä,
Hervanta,"2h,k,s,lasit.p",kt,"52,00",164000,3154,2013,2/6,on,hyvä,"C,2013"
Kalkku,"2h, k,",kt,"64,00",80000,1250,1977,5/6,on,hyvä,"G,2013"
Pohtola,"2h, kk, kph, la...",kt,"39,00",140450,3601,2019,5/5,on,hyvä,"C,2013"
Kaakinmaa,"2h, k, kh, las.p",kt,"49,50",200000,4040,1959,4/6,on,hyvä,
Rantaperkiö,2h+k,kt,"53,00",122000,2302,1961,2/2,ei,hyvä,"D,2007"
Amuri,"2h, k, kph, vh,...",kt,"57,50",229000,3983,1968, ,on,hyvä,"D,2007"
Kaleva,"2h,k,kph",kt,"58,00",158000,2724,1956,1/7,on,hyvä,"G,2013"
Hallila,2h+k+s,kt,"59,50",136000,2286,1991,4/5,on,hyvä,
Käpylä,2h+k+s+kph+wc+v...,kt,"75,50",325700,4314,1937,6/6,on,hyvä,
Tesoma,"2h,k,kph,las.p",kt,"57,00",88500,1553,1965,3/5,on, ,"F,2013"
Kaleva,"2h,k",kt,"57,00",145000,2544,1955,2/4,ei, ,"F,2013"
Hervanta,"2h, k, kph, s, ...",kt,"59,50",129000,2168,1991,1/2,ei,hyvä,"E,2007"
Tesoma,"2h,kk",kt,"43,00",133600,3107,2018,2/8,on,hyvä,"C,2018"
Kaleva,"2h,k,lasit.p",kt,"53,00",180000,3396,1957,4/6,on,hyvä,"D,2007"
Lentävänniemi,"2h, k, kph, p",kt,"59,00",103000,1746,1975,2/8,on,hyvä,"G,2013"
Hervanta,"2h,k,kph,vh,las.p",kt,"60,00",68000,1133,1976,1/8,on,huono,"F,2013"
Pyynikki,"2h,k,wc,kph,s,v...",kt,"62,00",172000,2774,2000,1/6,on,hyvä,"B,2013"
Peltolammi,"2h, kk, kph/wc,...",kt,"41,00",150100,3661,2019,4/6,on,hyvä,
Niemenranta,"2h, kk, s",kt,"45,60",175000,3838,2017,-1/6,on,hyvä,
Tammela,2h+k/rt+kph/wc,kt,"60,50",212000,3504,1976,5/6,on,hyvä,"E,2013"
Rahola,"2h,k",kt,"42,00",50000,1190,1946,2/2,ei, ,
Hyhky,"2h, k, rp",kt,"44,50",147000,3303,2014,2/2,ei,hyvä,"C,2007"
Tesoma,"2h,kk",kt,"41,00",135596,3307,2018,4/8,on,hyvä,"C,2018"
Tesoma,"2h,kk",kt,"43,00",126500,2942,2018,1/8,on,hyvä,"C,2018"
Amuri,"2h, k, p",kt,"55,50",240000,4324,1964,5/10,on,hyvä,"E,2013"
Hämeenpuisto,"3 h,k,kph,vh,parv.",kt,"74,00",274000,3703,1957,7/7,on,hyvä,"G,2013"
Hervanta,"3h,k,lasit.p",kt,"76,00",85000,1118,1976,3/5,on,tyyd.,"F,2013"
Hervanta,3h+k,kt,"76,00",89000,1171,1974,4/7,on,tyyd.,"D,2013"
Härmälänranta,"3h+k+s, las, p",kt,"63,00",282000,4476,2018,5/6,on,hyvä,"C,2013"
Lentävänniemi,3h+k+vh+parveke,kt,"73,00",102000,1397,1979,1/3,on,hyvä,"F,2013"
Armonkallio,"2h, k",kt,"52,50",180000,3429,1963,1/5,on,hyvä,
Härmälä,"2h,k,kph,s,vh,l...",kt,"53,50",185000,3458,2006,4/5,on,hyvä,"D,2013"
Keskusta,"2h,k,s",kt,"50,00",241000,4820,2018,3/8,on,hyvä,
Kaleva,2h+kt+kph+lasit...,kt,"35,00",182000,5200,2018,2/6,on,hyvä,
Hervanta,"2h, kt, kph, pa...",kt,"38,50",130900,3400,2019,2/8,on,hyvä,
Rautaharkko,"2h, kk, kph/wc, p",kt,"45,00",105000,2333,1969,1/3,ei,hyvä,
Vuores,"2h, kt, s, lasi...",kt,"52,50",152500,2905,2013,3/5,on,hyvä,"A,2007"
Keskusta,"3 h, avokeitti&...",kt,"68,00",253000,3721,1972,2/3,on,hyvä,
Kaleva,"2h, k, kph, p",kt,"49,00",160000,3265,1949,2/4,ei,hyvä,"C,2007"
Hatanpää,"3h,kt",kt,"51,00",198700,3896,2020,3/7,on,hyvä,"C,2013"
Lentävänniemi,3h+k+lasit. par...,kt,"73,00",104500,1432,1979,2/3,on, ,"F,2013"
Lentävänniemi,"3h, kt, s, p",kt,"63,00",289500,4595,2018,5/6,on,hyvä,"C,2013"
Hervanta,"3h, k, kph, s, ...",kt,"74,00",165000,2230,2006,3/4,on,hyvä,
Rantaperkiö,"3h, k, kph, vh",kt,"80,00",142500,1781,1961,3/3,ei,hyvä,"D,2007"
Tampella,"3 h, k, kph/wc,...",kt,"80,00",365000,4563,2007,4/6,on,hyvä,
Armonkallio,2h+k,kt,"55,00",152000,2764,1960,2/3,ei, ,"G,2013"
Linnainmaa,"2h, kt, kph, s,...",kt,"43,00",166000,3860,2018,4/7,on,hyvä,
Tasanne,"2h, kt, kph, s",kt,"50,00",154890,3098,2018,1/2,ei,hyvä,A
Pyynikki,"2h, k, vh, kph",kt,"51,00",189000,3706,1972,2/7,on,hyvä,"G,2013"
Hervanta,"2h, k, kph, s, ...",kt,"61,00",136500,2238,1991,5/8,on,hyvä,
Lentävänniemi,"2h, k, p, lasit...",kt,"62,50",131000,2096,1978,6/6,on,hyvä,
Vehmainen,"2h,kt,s",kt,"45,00",153001,3400,2019,3/4,on,hyvä,"C,2013"
Tasanne,"2h, kt, kph, s",kt,"50,00",154890,3098,2018,1/2,ei,hyvä,A
Kaleva,"2h,pk",kt,"49,00",131000,2673,1949,2/4,ei,huono,"C,2007"
Tampella,"2h, k, s, vh",kt,"51,50",180000,3495,1972,2/5,on,hyvä,"E,2013"
Pyynikki,"2h, k, kph, eri...",kt,"62,50",213000,3408,1926,2/2,ei,hyvä,
Pyynikki,"2h, k, kph/wc",kt,"68,00",242000,3559,1928,5/6,on,hyvä,"F,2013"
Kaleva,"2h,k",kt,"44,00",141000,3205,1948,1/4,ei, ,"G,2013"
Kaukajärvi-,"2h, k, kph, s, ...",kt,"51,50",163000,3165,2006,8/8,on,hyvä,
Kaleva,"2h, k, kh, las. p",kt,"59,50",161000,2706,1956,4/4,ei,hyvä,"D,2007"
Armonkallio,"2h,k,kph,vh",kt,"46,00",120000,2609,1970,3/3,ei,tyyd.,"F,2013"
Hervanta,"2 h , k , p",kt,"62,00",65000,1048,1977,5/5,on,huono,"C,2007"
Ristinarkku,"2h,k",kt,"38,00",148800,3916,2019,2/7,on,hyvä,"C,2013"
Ristinarkku,"2h,k",kt,"40,00",152400,3810,2019,2/7,on,hyvä,"C,2013"
Ristinarkku,"2h,k",kt,"40,00",161700,4043,2019,5/7,on,hyvä,"C,2013"
Ristinarkku,"2h,k",kt,"40,00",161700,4043,2019,5/7,on,hyvä,"C,2013"
Ristinarkku,"2h,k",kt,"40,00",166400,4160,2019,6/7,on,hyvä,"C,2013"
Vehmainen,"2h,k",kt,"45,00",140175,3115,2019,2/4,on,hyvä,"C,2013"
Haukiluoma,autopaikka,kt,"12,50",2500,200,2017,1/4,on,hyvä,
Vuores,"1h, k, kph, ran...",kt,"29,50",113000,3831,2017,3/6,on,hyvä,
Vuores,"1h, alkovi, k, ...",kt,"33,50",110000,3284,2015,6/7,on,tyyd.,C
Hatanpää,"1h,tk,s",kt,"45,00",154000,3422,2002,1/4,on, ,"D,2007"
Vuores,autopistokepaikka,kt,"5,00",300,60,2018,1/1,ei,hyvä,C
Ratinanranta,varasto,kt,"7,00",3000,429,2011,1/5,on,hyvä,"E,2013"
Nekala,"1h, k, kph",kt,"32,00",87000,2719,1941,2/2,ei,hyvä,G
Järvensivu,"1h,s,terassi",kt,"34,00",138000,4059,2006,1/5,on,hyvä,E
Hervanta,"1h, kt, kph, la...",kt,"25,50",105900,4153,2019,5/8,on,hyvä,
Linnainmaa,2h+k+s,kt,"60,00",125000,2083,1991,3/3,ei, ,"E,2013"
Tampella,"2h, k, s, kph, ...",kt,"64,00",250000,3906,1997,5/6,on,hyvä,"E,2013"
Amuri,"2h, k, s, p, vh",kt,"48,50",196000,4041,2000,6/7,on,hyvä,
Hervanta,"2 h, k, p",kt,"60,00",89600,1493,1978,6/8,on,hyvä,"F,2013"
Härmälänranta,2h+kt+s+lasitet...,kt,"45,00",179501,3989,2018,2/7,on,hyvä,"C,2018"
Kaleva,"2h,kt,vh,p",kt,"46,00",184000,4000,2018,5/6,on,hyvä,"C,2013"
Viinikka,"2h,k,wc/kph",kt,"58,00",98000,1690,1948,1/2,ei,hyvä,
Nekala,"2h, kk, kph, vh",kt,"45,50",93000,2044,1971,1/3,ei,hyvä,
Haapalinna,"2h, k, s, p",kt,"63,50",110000,1732,1989,3/4,on,hyvä,"B,2007"
Härmälänranta,"2h, kt",kt,"29,00",129900,4479,2019,1/3,ei,hyvä,"C,2013"
Kaleva,"2h, k, kph, p",kt,"44,00",166000,3773,1954,5/6,on,hyvä,
Tampella,"k, oh, mh, kph,...",kt,"55,00",225000,4091,1997,3/6,on,hyvä,"E,2013"
Kaleva,"2h, k, kph, vh,...",kt,"61,00",177000,2902,1958,2/3,ei,hyvä,"F,2013"
Vuores,"2h,kt,s,parveke",kt,"54,00",152500,2824,2012,2/4,on,hyvä,"C,2013"
Kaleva,"2h,k",kt,"56,00",165000,2946,1954,1/4,ei,tyyd.,
Tesoma,"2h,kk",kt,"41,00",133100,3246,2018,2/8,on,hyvä,"C,2018"
Multisilta,"2h, kt",kt,"39,00",127020,3257,2019,5/8,on, ,"B,2018"
Tasanne,"2h, kt, kph, s",kt,"50,00",154890,3098,2018,1/2,ei,hyvä,A
Holvasti,2h+kk+s+lasitet...,kt,"49,00",125000,2551,2003,3/4,on, ,"F,2013"
Tesoma,"2h,kk",kt,"43,00",135600,3153,2018,3/8,on,hyvä,"C,2018"
Peltolammi,"2h, k, kph/wc, ...",kt,"53,50",84300,1576,1967,1/3,ei,hyvä,"E,2007"
Kaleva,"2h, avok, s, kp...",kt,"42,50",221000,5200,2016,8/9,on,hyvä,"C,2013"
Hervanta,2h+kk+kph,kt,"48,00",55000,1146,1975,1/6,on,tyyd.,"E,2013"
Hervanta,"2 h , k , s , p",kt,"49,00",170000,3469,2014,7/16,on,hyvä,"B,2007"
Kaleva,"2h, avok, p",kt,"50,00",175000,3500,1964,5/9,on,hyvä,
Rautaharkko,"2h, k, kph/wc, ...",kt,"53,00",106000,2000,1969,2/3,ei,hyvä,"F,2013"
Hatanpää,2H+KT,kt,"39,50",172700,4372,2019,2/7,on,hyvä,"C,2018"
Hakametsä,"2h, k, s, vh, rp",kt,"45,50",152000,3341,2012,2/6,on,hyvä,"D,2013"
Kaukajärvi,"2h,kk,kph,vh,la...",kt,"50,00",99500,1990,1971,1/3,ei, ,"D,2007"
Kaleva,"2h,k",kt,"50,00",142000,2840,1964,1/9,on,tyyd.,"E,2013"
Kissanmaa,"2h, k, kph, p",kt,"50,50",130000,2574,1958,2/2,ei,hyvä,
Tammela,"2h,k,s,kph,vh,p...",kt,"57,00",168000,2947,1983,4/6,on, ,"G,2013"
Hatanpää,"2h, k, s, kph, ...",kt,"54,00",155000,2870,2000,3/5,on,hyvä,"F,2013"
Hervanta,"2h, kt, kph",kt,"38,50",125900,3270,2019,2/8,on,hyvä,
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",129900,3331,2019,1/8,on,hyvä,
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",135900,3485,2019,4/8,on,hyvä,
Lentävänniemi,"2h, avok, s, p",kt,"44,00",177300,4030,2019,4/6,on,hyvä,"C,2013"
Kaakinmaa,"2h, kk, kph, vh...",kt,"53,00",190000,3585,1967,2/7,on,hyvä,
Hervanta,2h+k+kph+vh+par...,kt,"62,00",75000,1210,1974,3/7,on, ,"D,2018"
Lentävänniemi,"3h, k, s, p",kt,"75,00",299800,3997,2019,6/6,on,hyvä,"C,2013"
Tampella,3h+k+wc+kph+sau...,kt,"78,00",338000,4333,2008,5/12,on,hyvä,"D,2013"
Keskusta,"3h, k, las. p",kt,"62,00",210000,3387,1965,2/7,on,hyvä,"F,2013"
Kaukajärvi,"3h,k,s",kt,"70,00",174000,2486,2005,4/6,on,hyvä,"D,2013"
Kaukajärvi,"3h, k, kph/wc, ...",kt,"78,50",149000,1898,1968,6/9,on,hyvä,
Härmälänranta,"3h,k,s,p,lä...",kt,"90,00",350000,3889,2012,2/6,on,hyvä,"A,2007"
Tammela,"3h, k, s, vh, parv",kt,"85,50",343000,4012,2006,1/4,on,hyvä,"C,2007"
Janka,"3h,k,s",kt,"74,00",185000,2500,2005,2/3,on,hyvä,"E,2013"
Rahola,"3h,k,s",kt,"80,00",218000,2725,2012,3/7,on,hyvä,"D,2013"
Tesomajärvi,2h+k+vth+lasit.p.,kt,"61,00",81000,1328,1970,2/7,on,tyyd.,"G,2013"
Vuores,2h+kt,kt,"33,50",121980,3641,2017,3/6,on,hyvä,
Haukiluoma,"2h, kt, terassi...",kt,"39,50",117010,2962,2017,1/4,on,hyvä,C
Hyhky,"2h,k,s",kt,"47,00",129000,2745,1986,1/2,ei,hyvä,"F,2013"
Hervanta,"2h, kk",kt,"48,00",67000,1396,1976,2/5,on,tyyd.,"F,2013"
Amuri,"2 h, k, kph/wc, vh",kt,"52,00",160000,3077,1945,4/4,ei,hyvä,
Hatanpää,"2h,kk,s",kt,"52,00",164000,3154,2002,1/6,on,hyvä,F
Lentävänniemi,"3h, kt, s, p",kt,"78,50",329700,4200,2019,3/5,on,hyvä,"C,2013"
Kaleva,"3h, k,kph, wc, ...",kt,"71,50",266000,3720,2007,3/8,on,hyvä,"E,2013"
Uusikylä,"3h, k, kph, 2vh...",kt,"64,50",162000,2512,1967,3/3,ei,hyvä,
Lentävänniemi,"3h, kt, s, p",kt,"68,00",292400,4300,2019,3/5,on,hyvä,"C,2013"
Hatanpää,"3h,k,s",kt,"78,00",195000,2500,1999,2/4,on,tyyd.,"C,2007"
Pyynikki,"3h, k, 2xwc, kp...",kt,"81,00",255000,3148,1921,2/2,ei,hyvä,"G,2013"
Hyhky,3h+k+s,kt,"65,00",181000,2785,1982,1/2,ei,hyvä,"G,2013"
Hervanta,3h+k+kph+lasit....,kt,"75,00",106200,1416,1975,6/8,on,hyvä,F
Rahola,"2h, k, ph, p",kt,"51,00",85000,1667,1965,3/3,on,hyvä,"F,2007"
Annala,2h+k,kt,"55,50",79000,1423,1974,3/3,ei,tyyd.,"F,2013"
Härmälänranta,"2h,kt",kt,"36,00",146836,4079,2019,2/3,ei,hyvä,"C,2013"
Härmälänranta,"2h,kt",kt,"36,00",146836,4079,2019,2/3,ei,hyvä,"C,2013"
Härmälänranta,"2h+k, las. p",kt,"46,50",193700,4166,2018,2/6,on,hyvä,"C,2013"
Kaleva,"2h, k, kph/wc",kt,"50,50",118000,2337,1959,3/3,ei,hyvä,"F,2013"
Koivistonkylä,"2h, k, kph",kt,"53,00",92500,1745,1929,2/2,ei,hyvä,
Kalkku,"3h,k,lasit p",kt,"80,00",129100,1614,1977,1/6,on,hyvä,"G,2013"
Kaleva,"3h, k, kph/wc, ...",kt,"80,50",230000,2857,1965,8/9,on,hyvä,"F,2013"
Kaakinmaa,"3h, k, kph, parv.",kt,"72,00",235000,3264,1963,5/7,on, ,"D,2013"
Ristinarkku,3h+k+s+lasitett...,kt,"79,00",175000,2215,1994,3/4,on,hyvä,"E,2013"
Annala,"3h, k, kph, vh,...",kt,"74,00",98410,1330,1981,1/3,ei,hyvä,
Koivistonkylä,"3h,k,p",kt,"76,00",140000,1842,1970,2/3,ei,tyyd.,"E,2013"
Niemenranta,"3h, k, s, p",kt,"79,00",290000,3671,2014,5/8,on,hyvä,"B,2018"
Hatanpää,"2h, kt",kt,"38,50",175700,4564,2019,3/7,on,hyvä,"C,2018"
Hatanpää,"2h, kt",kt,"38,50",177200,4603,2019,4/7,on,hyvä,"C,2018"
Hatanpää,"2h, kt",kt,"39,50",178200,4511,2019,5/7,on,hyvä,"C,2018"
Järvensivu,"2h, kk, kph/wc,...",kt,"46,00",180000,3913,2007,1/8,on,hyvä,F
Tasanne,"2h, kt, kph, s",kt,"50,00",159890,3198,2018,1/2,ei,hyvä,A
Keskusta,"2h, kk, parveke",kt,"49,00",200000,4082,1967,6/7,ei,hyvä,"C,2007"
Kaleva,2h+k,kt,"56,00",165000,2946,1964,3/6,on, ,"C,2007"
Hervanta,"2h,k,s",kt,"49,00",165000,3367,2014,8/16,on,hyvä,"B,2013"
Tesoma,"2h,kk",kt,"43,00",136900,3184,2018,4/8,on,hyvä,"C,2018"
Kaleva,"2h,k,kph,vh,p",kt,"51,00",161000,3157,1963,5/6,on, ,"F,2013"
Tammela,"2h, k, kph/ wc,...",kt,"52,50",159000,3029,1968,3/6,on,tyyd.,
Ristinarkku,"2h,kt",kt,"46,00",168400,3661,2019,3/7,on,hyvä,"C,2013"
Ristinarkku,"2h,kt",kt,"46,00",179900,3911,2019,6/7,on,hyvä,"C,2013"
Kaleva,"2h,k, kph, parv...",kt,"53,00",144000,2717,1960,1/6,on,hyvä,"G,2013"
Viinikka,"2h, k, kph, vh",kt,"58,00",119000,2052,1948,2/3,ei, ,"F,2013"
Hervanta,2h+k+kph+s+lasi...,kt,"61,00",118800,1948,1985,5/5,on,hyvä,"F,2013"
Peltolammi,"2h, kt, kph/wc,...",kt,"36,00",125200,3478,2019,1/6,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",106900,4192,2019,6/8,on,hyvä,
Tammela,"1h, kk, kh",kt,"26,50",129500,4887,1975,5/7,on,hyvä,"F,2013"
Tammela,"1h,kk,lasitettu...",kt,"29,00",102000,3517,1971,2/6,on,tyyd.,F
Kaukajärvi,"1h, tpk, lasit....",kt,"32,50",127000,3908,2018,4/8,on,hyvä,
Petsamo,1h+k,kt,"34,00",95000,2794,1937,2/2,ei,hyvä,"F,2013"
Hervanta,"1h, kt, kph, la...",kt,"25,50",98900,3878,2019,2/8,on,hyvä,
Härmälänranta,"2h+k, s, las. p",kt,"55,50",230000,4144,2018,6/6,on,hyvä,"C,2013"
Tammela,"2h, k, kph, vh,...",kt,"57,00",169000,2965,1983,4/6,on, ,"G,2018"
Tammela,"2h,k,s,lasip",kt,"59,00",175000,2966,1983,6/7,on, ,"D,2013"
Tammela,"2 h, kk, kph, p",kt,"41,50",146000,3518,1972,4/7,on,tyyd.,"F,2007"
Niemenranta,"2h, kk",kt,"43,00",167000,3884,2017,3/6,on,hyvä,
Multisilta,"2h,k,kph,2xVh,l...",kt,"62,00",85500,1379,1970,3/3,ei, ,"F,2013"
Tampella,"2h,k,s,las.p.",kt,"45,00",220000,4889,2002,5/6,on,hyvä,"E,2013"
Tammela,2h+k+s+las.p,kt,"59,00",176000,2983,1984,1/6,on,tyyd.,"C,2007"
Muotiala,"2h,avokeitti...",kt,"48,00",162000,3375,2004,3/3,on,hyvä,"F,2013"
Tammela,"2h, k, kph, vh,...",kt,"55,50",195000,3514,1967,6/7,on,hyvä,"D,2007"
Keskusta,"2h, k, p",kt,"64,00",250000,3906,1966,6/7,on,hyvä,
Tesoma,"2h,kk",kt,"38,00",133600,3516,2018,6/8,on,hyvä,"C,2018"
Hatanpää,"2h, kt",kt,"44,00",181200,4118,2019,1/7,on,hyvä,"C,2018"
Lentävänniemi,"2h, k, kph, p",kt,"59,50",92000,1546,1970,6/7,on,hyvä,
Leinola,"2h, kk, kph, s",kt,"38,00",99900,2629,2004,2/4,on, ,"E,2013"
Kissanmaa,2h+k+kh,kt,"49,00",131000,2673,1955,2/3,ei,hyvä,
Keskusta,"2h, k, kph, s, ...",kt,"56,50",225000,3982,1998,4/7,on,hyvä,"F,2013"
Multisilta,"2h, kt",kt,"39,00",128188,3287,2019,6/8,on, ,"B,2018"
Multisilta,"2h, kt",kt,"39,00",129940,3332,2019,7/8,on, ,"B,2018"
Hervanta,"2h, kt, kph, pa...",kt,"38,50",134900,3504,2019,4/8,on,hyvä,
Hervanta,"2h,k,las.p.",kt,"60,00",89000,1483,1978,5/8,on,hyvä,"F,2013"
Hervanta,3h+k+s+p (las.),kt,"63,50",183000,2882,2013,3/16,on,hyvä,"D,2013"
Tesoma,"3h,k,kph,las.p",kt,"66,00",96000,1455,1965,1/7,on, ,D
Rautaharkko,"3h, k, kph, vh, p",kt,"75,50",137000,1815,1973,1/2,ei,hyvä,"D,2007"
Linnainmaa,3h+k+s+lasitett...,kt,"76,00",166000,2184,1979,4/5,on,hyvä,"F,2018"
Lentävänniemi,"3h, kt, s, p",kt,"68,00",286400,4212,2019,2/5,on,hyvä,"C,2013"
Niemenranta,"3 h, k, s, p",kt,"79,00",220000,2785,2014,2/8,ei,hyvä,
Lentävänniemi,"3h,kt,s",kt,"64,00",273000,4266,2018,1/6,on, ,C
Lentävänniemi,"3h, k, kph, 2 x vh",kt,"77,00",96000,1247,1967,2/3,ei,hyvä,"G,2013"
Tammela,"3h, k, kph, vh,...",kt,"66,50",230000,3459,1973,3/7,on,hyvä,"D,2013"
Vuores,"2h, k, kph, s, ...",kt,"54,00",175000,3241,2014,2/2,ei,hyvä,
Keskusta,2h+k+p,kt,"60,00",199000,3317,1962,3/7,on,hyvä,"D,2007"
Hervanta,"2h,k,s",kt,"49,00",179000,3653,2014,11/16,on,hyvä,"B,2013"
Hervanta,"2 h, k, s, p",kt,"62,00",116000,1871,1985,6/6,ei,hyvä,
Armonkallio,"2-3h, k, kph, v...",kt,"55,00",178000,3236,1969,2/6,on,hyvä,
Hervanta,"2h, k, kph, vh,...",kt,"54,00",86000,1593,1975,7/7,on,hyvä,"F,2013"
Kaleva,2h+k+kph+p,kt,"54,00",176000,3259,1954,6/6,on,hyvä,C
Härmälä,3h+k+kph+s+parveke,kt,"63,00",205000,3254,2006,4/5,on,hyvä,"E,2013"
Pohtola,"3h, k, s",kt,"76,00",125000,1645,1985,2/2,ei,hyvä,"D,2007"
Vuores,"3 h , k , s , p",kt,"71,50",211000,2951,2016,4/5,on,hyvä,C
Hervanta,"3h, k+p",kt,"77,00",95000,1234,1981,2/5,on,hyvä,"F,2013"
Härmälänranta,"3h,kt,s",kt,"57,00",209626,3678,2018,6/7,ei,hyvä,C
Tampella,"3h, k, kph/wc, ...",kt,"75,50",347500,4603,2004,2/8,on,hyvä,D
